year,month,district,count
2010,Jan,Kalmunai,215
2010,Feb,Kalmunai,174
2010,Mar,Kalmunai,71
2010,Apr,Kalmunai,57
2010,May,Kalmunai,13
2010,Jun,Kalmunai,8
2010,Jul,Kalmunai,5
2010,Aug,Kalmunai,9
2010,Sep,Kalmunai,6
2010,Oct,Kalmunai,10
2010,Nov,Kalmunai,23
2010,Dec,Kalmunai,15
2011,Jan,Kalmunai,3
2011,Feb,Kalmunai,1
2011,Mar,Kalmunai,6
2011,Apr,Kalmunai,4
2011,May,Kalmunai,2
2011,Jun,Kalmunai,3
2011,Jul,Kalmunai,8
2011,Aug,Kalmunai,0
2011,Sep,Kalmunai,2
2011,Oct,Kalmunai,5
2011,Nov,Kalmunai,6
2011,Dec,Kalmunai,48
2012,Jan,Kalmunai,41
2012,Feb,Kalmunai,43
2012,Mar,Kalmunai,25
2012,Apr,Kalmunai,8
2012,May,Kalmunai,10
2012,Jun,Kalmunai,23
2012,Jul,Kalmunai,9
2012,Aug,Kalmunai,11
2012,Sep,Kalmunai,3
2012,Oct,Kalmunai,22
2012,Nov,Kalmunai,69
2012,Dec,Kalmunai,138
2013,Jan,Kalmunai,94
2013,Feb,Kalmunai,142
2013,Mar,Kalmunai,138
2013,Apr,Kalmunai,44
2013,May,Kalmunai,42
2013,Jun,Kalmunai,12
2013,Jul,Kalmunai,9
2013,Aug,Kalmunai,4
2013,Sep,Kalmunai,4
2013,Oct,Kalmunai,4
2013,Nov,Kalmunai,8
2013,Dec,Kalmunai,3
2014,Jan,Kalmunai,12
2014,Feb,Kalmunai,12
2014,Mar,Kalmunai,15
2014,Apr,Kalmunai,8
2014,May,Kalmunai,18
2014,Jun,Kalmunai,28
2014,Jul,Kalmunai,11
2014,Aug,Kalmunai,17
2014,Sep,Kalmunai,12
2014,Oct,Kalmunai,33
2014,Nov,Kalmunai,204
2014,Dec,Kalmunai,147
2015,Jan,Kalmunai,228
2015,Feb,Kalmunai,87
2015,Mar,Kalmunai,29
2015,Apr,Kalmunai,21
2015,May,Kalmunai,29
2015,Jun,Kalmunai,19
2015,Jul,Kalmunai,13
2015,Aug,Kalmunai,16
2015,Sep,Kalmunai,14
2015,Oct,Kalmunai,7
2015,Nov,Kalmunai,22
2015,Dec,Kalmunai,53
2016,Jan,Kalmunai,122
2016,Feb,Kalmunai,127
2016,Mar,Kalmunai,49
2016,Apr,Kalmunai,30
2016,May,Kalmunai,21
2016,Jun,Kalmunai,18
2016,Jul,Kalmunai,26
2016,Aug,Kalmunai,19
2016,Sep,Kalmunai,32
2016,Oct,Kalmunai,57
2016,Nov,Kalmunai,131
2016,Dec,Kalmunai,348
2017,Jan,Kalmunai,574
2017,Feb,Kalmunai,294
2017,Mar,Kalmunai,378
2017,Apr,Kalmunai,197
2017,May,Kalmunai,162
2017,Jun,Kalmunai,127
2017,Jul,Kalmunai,197
2017,Aug,Kalmunai,151
2017,Sep,Kalmunai,128
2017,Oct,Kalmunai,159
2017,Nov,Kalmunai,196
2017,Dec,Kalmunai,583
